label,text
spoiler,"The Last of Us ending explained: why that final scene changes everything."
spoiler,"I can't believe Joel dies in the finale — the twist was wild."
spoiler,"Elden Ring final boss revealed — here's how to beat it."
spoiler,"Season finale recap: the killer is finally revealed in episode 10."
spoiler,"Post-credit scene explained for Spider-Man — who wins the final fight?"
not_spoiler,"The Last of Us review: great acting and amazing production quality."
not_spoiler,"Elden Ring guide: best early weapons and beginner tips (no spoilers)."
not_spoiler,"Season 1 discussion: cinematography and soundtrack were incredible."
not_spoiler,"I just started the game—any beginner advice before I play tonight?"
not_spoiler,"Watch the official trailer: release date and cast announcement."
